collectie;welke klei gebruik je;glazuur: naam of kleur;vaatwasserbestendig (ja/nee);magnetronbestendig (ja/nee);ovenbestendig (ja/nee);voedselveilig (ja/nee);hoe verzorg je het (1 a 2 zinnen);wat kenmerkt deze collectie (2 a 3 zinnen, eigen woorden)
Zeeuws Zand;;;;;;;;
Kust Koraal;;;;;;;;
Boeren Bontjes;;;;;;;;
(stukken zonder collectie);;;;;;;;
